frame,deflection_angle_8-6-4,deflection_angle_6-4-1
1,17.87645789927035,13.580850075775516
2,17.901718034441757,13.68136882926359
3,17.950225405566613,13.91439563015578
4,17.91450869115252,14.157582349797252
5,17.78334165493584,14.44877100988947
6,17.512328855196756,14.758269777846238
7,17.117722083751374,15.126594585434276
8,16.648452898867077,15.421433152700615
9,16.1607756769331,15.538437283350987
10,15.780994874756885,15.409350906523116
11,15.760966171087773,15.213963842802144
12,15.945719134219246,15.223103208663048
13,16.04241983648825,15.282732955665665
14,16.071775667599525,15.315028109189313
15,16.15907169495776,15.402131800510887
16,16.33444829865232,15.57486229439209
17,16.5367899193692,15.806554550836182
18,16.657572447094992,15.99117332039998
19,16.679349367003027,16.05030890806981
